id,name,detail,vyrn
20009-1,エリヤ・ヘルム宮殿,舊エルステ王國建立以來、<br>王族達の住居であり、<br>官邸としての役割を果たしてきた宮殿。 <br>その建築様式は<br>ファータ・グランデ空域最古のものであり、<br>素樸ながら強固な造りは、<br>築數千年が経ったいまでも、<br>壯麗なその姿を保っている。 ,何千年も前から<br>建ってるってんだから<br>驚きだよなぁ……
20009-2,砂漠の木々,ラビ島はその大半が<br>砂に埋もれているものの、<br>エリヤ・ヘルム宮殿週辺や<br>シェム砂漠において<br>わずかながら木々を見ることが出來る。 <br>ラビ島固有の植物が多いが、<br>ルーマシー群島奧地に生息するものと<br>同種の木々も一部で見ることが出來る。 ,誰かがルーマシーから<br>木の苗を<br>持ってきたのかもな！
20009-3,メフォラシュ市街,古都の趣を殘す市街地。 <br>メフォラシュの市街は<br>エリヤ・ヘルム宮殿の城下町として<br>発展してきた歴史があり、<br>住人達は皆、<br>宮殿に住む王族達に対して、<br>畏敬の念を抱いている。 ,この街並みも<br>宮殿と同じくらい<br>古いらしーぜ！
20009-4,シェム砂漠,古都メフォラシュを囲む広大な砂漠。 <br>その砂の下には、<br>現在では忘れ去られてしまった<br>様々な施設が眠っているとも言われる。 <br>時折、その施設を守っていた<br>古いゴーレムに遭遇することがあるため、<br>出歩くには注意が必要。 ,砂の下にゴーレムが<br>埋まってると思うと<br>怖ぇ場所だよな……
20008,阿瑪提亞島,,
20008-1,秩序の騎空団　第四庁舎,緑の多いアマルティア島の中で、<br>一際目を引く白亜の巨大建造物。 <br>全空に影響力を持つ秩序の騎空団の中でも<br>ファータ・グランデ空域を擔當する<br>第四騎空艇団の本部が置かれている。 <br>その頂上には規律と秩序のために<br>剣を取ることを説いた<br>初代団長の像が建てられている。 ,きれーな建物だけど、<br>ずっと見上げてたら<br>首が痛くなっちまうぜ
20008-2,第四庁舎正門,別名「裁きの門」とも呼ばれ、<br>秩序の騎空団に助けを乞う者も、<br>秩序の騎空団に捕縛された者も、< br>皆一様にこの門をくぐることになる。 <br>そうして庁舎に入った者が<br>この門を笑顔で再びくぐることが<br>出來るかどうかはその者の行い次第。 ,ごくり……<br>この門を見てると<br>変に緊張しちまうぜ
20008-3,アマルティア島居住區,秩序の騎空団の騎空士達や、<br>その関係者達が暮らす。 <br>街に侵入を試みる魔物には<br>常に秩序の騎空団の騎空士達で構成された<br>警備隊が目を光らせており<br>全空一安全な街とも稱される。 ,オイラ達のいた<br>ザンクティンゼルとは<br>大違いだぜ！
20008-4,クルヴィ山脈,その麓に豊かな緑を蓄える<br>アマルティア島のほとんどを佔める山脈。 <br>人々の立ち入らない森には<br>兇暴な魔物も生息しており、<br>庁舎から脫走した囚人すらも<br>まず近づくことはない。 ,この島は<br>意外と緑が多いよな！
20007,菲尼斯諸島 加隆佐島,,
20007-1,監視小屋,港の出入りを監視する小屋。 <br>整備のために入港する騎空艇や、<br>整備を終えて搬出される騎空艇など<br>港の出入りは激しいが<br>あまり正確な指示は與えられないため< br>混亂することが多い。 ,ガロンゾの奴らは<br>なんていうか<br>大雑把なんだよな……
20007-2,整備中の騎空艇,中央船渠にて整備される騎空艇。 <br>騎空艇は騎空団にとって<br>移動手段であると同時に、<br>魂とも呼べる存在であり、<br>それを預ける腕利きの職人と騎空士達は<br>強い信頼関係で結ばれている。 ,騎空艇は<br>大事にしなくちゃ<br>ダメだよな！
20007-3,クレーン群,騎空艇の建造、整備には<br>欠かせないクレーン群。 <br>その大きさやつり上げ可能な荷重によって<br>それぞれ名前が付けられており、<br>中でも最大のものは<br>ミドガルド級クレーンと呼ばれる。 ,でっけぇクレーンが<br>並んでる姿は<br>なかなか壯観だぜ！
20007-4,中央船渠,ガロンゾのシンボルでもある巨大な船渠。 <br>數多の騎空艇が、<br>職人達による整備を待っている。 <br>また、騎空艇の新規開発も行われており、<br>より速く、より強く、<br>そしてより美しい騎空艇が<br>日夜を問わず盛んに研究されている。 ,騎空艇もどんどん<br>進化してくんだな！
20006,環霧之島,,
20006-1,魔物の館,村のはずれにある一際大きな館。 <br>魔物達がまるで館を守るかのように<br>週囲を徘徊しており、<br>こう呼ばれるようになった。 <br>古くはとある家族が住んでいたが、<br>その頃から村人達との交流は少なかった。 ,怪しい館だよな……<br>いかにも出そう<br>って感じだぜ……
20006-2,村人達,村からは死が奪われたが、<br>村人達は変わらず生活をしている。 <br>しかし、長い間に村人達は死に絶え、<br>皆ゾンビとなり、<br>新たな子供も生まれないため、<br>気づけばゾンビの村となっていた。 ,この村の奴らって<br>すげー前向きだよな！
20006-3,村役場,小さな村の數少ない公的な建物。 <br>村の出來事が記された台帳があるが、<br>かなり大雑把にしか書かれていない。 <br>記録によれば島の名前は<br>「トラモント」となっているが<br>めったに島の外の者と話すことがないため<br>島の名前を把握していない村人も多い。 ,なんつーか……<br>ずいぶんのんびりした<br>村だったみてーだな！
20006-4,帰り橋,死人がこの橋を渡り、<br>家族の元へ帰ってきたという伝承の殘る橋。 <br>しかし、実際は、<br>子供達が家に帰る際に、<br>よく利用されていたというのが由來。 ,いまとなっちゃあ<br>何とも言えない<br>伝承だよな……
20012,戴達羅伊德島鏈,,
20012-1,戴達羅伊德島鏈　中心街,ファータ・グランデ空域內における<br>ダイダロイトベルトの中心街。 <br>限られた者しか<br>瘴流域を越えることが出來ないため、<br>空域を股に掛けるダイダロイトベルトには<br>中心的な街が各空域に存在する。 <br>空域を越えた希少品が並ぶ市場では、<br>買い付けに奔走する商人や、<br>試料の購入を行う調査員の姿を<br>見ることが出來る。 ,ここなら、<br>珍しいリンゴが<br>手に入りそーだな！
20012-2,戴達羅伊德島鏈　外縁部,ダイダロイトベルトを構成する<br>外縁部の岩塊群。 <br>瘴流域に接するダイダロイトベルトは<br>常に強風にさらされており、<br>大きなものの多い外縁部の岩塊群は、<br>調査や任務のために駐留する人々や、 <br>動植物が住まう內側の岩塊群を<br>強風から守る役割を擔っている。 ,この辺りを飛ぶときは<br>飛ばされないように<br>注意しねーとな！
20012-3,戴達羅伊德島鏈　小岩塊群,巨大な岩塊に囲まれた<br>ダイダロイトベルトの內側に存在する<br>小さな岩塊の密集區域。 <br>ダイダロイトベルトに留まり、<br>調査や任務を行う者達は、<br>外縁部に比べ風の影響を受けにくい<br>この小岩塊群に基地を建てることが多い。 <br>しかし、そもそもダイダロイトベルトは、<br>人が住むには適さない環境であるため、<br>長く留まる者は少ない。 ,風も強ぇーし、<br>ここにずっと住むのは、ちょっと大変だよな……
20012-4,雲海,ダイダロイトベルトの下部に広がる雲海。 <br>瘴流域からの強風によって<br>ダイダロイトベルト全體が雲に覆われ<br>視界が奪われてしまう日も存在し、<br>そういった日には岩塊からの転落事故が< br>非常に起きやすくなるため、<br>あらゆる調査や任務が中止となる。 ,足場が穴だらけなのに<br>視界まで悪いんじゃ、<br>そりゃ危ねぇよな……
21001,伊迪爾瓦王國領 美克馬爾島,,
21001-1,シュテルンフォート,空の境界を見守り続ける神さびた砦。 <br>覇空戦爭以前に建造された砦であり、<br>當時、空の世界を征服し、<br>隆盛を極めていた星の民が、<br>いったい何と戦うために建てた砦なのか、<br>また、砦自體に<br>どのような機能があるのか​​等、<br>解明されていない部分が多く、<br>一部の國の研究機関や軍上層部が< br>調査を進めている。 <br>,ごちゃごちゃしてて<br>なんかカッケー<br>建物だよな！ <br>
21001-2,砦の見張り台,シュテルンフォート上部には、<br>メルクマール島全體を見渡すことの出來る<br>見張り台が設置されている。 <br>その構造から本來は<br>瘴流域や白壁を見張るためのものだったと<br>推測されるが、<br>現在では盜賊達がこの見張り台を使い、<br>島全體に監視の目を光らせている。 <br>,こんだけ高けりゃ<br>瘴流域の向こうまで<br>見えそーだよな！ <br>
21001-3,古き街並み,シュテルンフォートの週囲には<br>砦と同じ時代に建てられた<br>自然と同化しつつある古い家々の姿を<br>見ることが出來る。 <br>砦が盜賊達に佔拠されたことで<br>島の住人達は砦から離れた位置に<br>生活拠點を築いているため、<br>現在では盜賊達のねぐらとして使われる。 <br>,砦の一部みてーだけど<br>ちょっと<br>不便そうだよな……<br>
21001-4,砦の大仕掛け,シュテルンフォートには<br>星の民が施した大小様々な仕掛けが殘る。 <br>しかし、現在では砦に関する多くの資料が<br>失われてしまっているため、<br>その機能が判明している仕掛けは<br>ごく一部であり、<br>內容は一般には秘匿されている。 <br>,何か動いたりしそうで<br>すっげー<br>わくわくするよな！ <br>
21003,克爾加島,,
21003-1,ブライシュティフト山群,クルーガー島を象徴する<br>特徴的な形をした山塊。 <br>島全體を構成する鋭い山々の頂は<br>決して常人が立ち入ることを許さない。 <br>厳しい修行を積んだ者が<br>その命を賭すことでようやく<br>山頂からの景色を拝むことが出來る。 <br>,あんな鋭い山、<br>頂上に立ったら<br>転がり落ちちまうぜ<br>
21003-2,戒めの堂,教えの最奧に至るため修行を続ける者が、<br>行腳の途上で立ち寄る宿。 <br>あらゆる點において<br>厳しい環境が用意されており、<br>野宿を行うのではなく、<br>この宿に泊まることもまた、<br>修行の一つとされている。 <br>,なんだってわざわざ、<br>こんな場所に<br>泊まるんだろーな？ <br>
21003-3,星遊びの蔵,クルーガー島において、<br>教えの最奧に至ろうとする者達の総本山。 <br>千里眼の賢者が住まう場所でもあり、<br>週囲には清浄な気が満ちる。 <br>賢者の管理する書庫には、<br>教えに纏わる書物だけでなく、<br>空と星の歴史を揺るがしかねない<br>禁書が眠っているという。 <br>,こういう場所は<br>居るだけで<br>気が引き締まるよな！ <br>
21003-4,島を巡る霞,クルーガー島の特徴の<br>一つとして挙げられる霞。 <br>そびえ立つ山々の間を縫うように<br>島中を巡っている。 <br>かつて、教えの最奧の至ろうとする者達が、<br>あまりに過酷な修行を送っているため、<br>この霞を主食として<br>生活しているのではないか、 <br>という伝説があった。 <br>,モヤモヤしてるけど、<br>不思議と嫌な感じじゃ<br>ねーんだよな！ <br>
21002,伊迪爾瓦王國領　古洛斯島,,
21002-1,フォルクシルト宮,水辺に佇むイデルバ國王の居城。 <br>その鮮やかな色使いと<br>週囲の自然との調和は、<br>広大なイデルバ王國領において、<br>最も明媚な風景の一つとされる。 <br>城下に主要な行政機関をまとめた造りは、<br>合理主義的な<br>イデルバ王國の性質を表している。 <br>,綺麗なお城だよな！ <br>こんなお城、<br>見たことなかったぜ！ <br>
21002-2,ルクスリエース市街,イデルバ王國の経済を支える主要な街。 <br>グロース島から輸出される商品は、<br>ほぼ全て一度この街に集約された後、<br>イデルバ王國領の各島々に運ばれる。 <br>古くから貿易で栄える街であるものの、<br>沿岸の漁業も盛んであり、<br>街の市場には新鮮な魚介類が數多く並ぶ。 <br>,人も多いし、<br>すっげぇ<br>元気な街みてーだぜ！ <br>
21002-3,シュピーゲル湖,イデルバ王國の首都ルクスリエースに、<br>多くの恵みを運ぶ湖。 <br>この湖を経由した沿岸都市同士の貿易は、<br>イデルバ王國にとって<br>欠かせないものとなっている。 <br>さらに水産資源も豊かであり、<br>ルクスリエースには<br>新鮮な魚を使った料理が數多く存在する。 <br>,まるで海みてーに<br>でっけぇ湖だよな！ <br>
21002-4,グロース山,グロース島の中央にそびえる象徴たる山。 <br>その裾野は島の下部へと広がり、<br>グロース島に住まう人々の<br>誇りであると同時に、畏怖の象徴でもある。 <br>長年人々と寄り添ってきた山であるものの、<br>その頂に到達した者は、<br>歴史上存在しないとされている。 <br>,山のてっぺんからは<br>どんな景色が<br>見えるんだろーな？ <br>
21007,境界的世界,,
21007-1,神火,星晶獣ヱビスに溜まった力が、<br>噴煙を伴い急速に噴き出す現象。 <br>境界の世界には質量を持たない<br>様々な力の殘滓も流れ著いており、<br>それらの一部が星晶獣ヱビスに溜まり、<br>この「神火」の源となる。 <br>星晶獣ヱビスの力の一端でもあるため、<br>境界を突破し空にまで屆く力を持つ。 <br>,あの火山も星晶獣の<br>一部だってんだから、<br>驚きだぜ！ <br>
21007-2,境界の民と福音の民,境界を泳ぐ星晶獣ヱビスの背には、<br>ヱビスに流れ著いた者達が暮らしている。 <br>種族、身分、時代も様々な彼らは、<br>自分達を共通の枠組みに収めることで、<br>爭いが起こることを防ごうとした。 <br>しかし、現在ではその思想の違いから、<br>境界の民を名乗る者達と、<br>福音の民を名乗る者達に分かれている。 <br>,空の民と星の民でも、<br>意外と仲良く<br>暮らせるのかもな<br>
21007-3,星晶獣ヱビスでの暮らし,星晶獣ヱビスには、空域、時代を超え、<br>様々なものが流れ著く。 <br>そのため村には、あらゆる空域、<br>あらゆる時代の片鱗が見られるが、<br>どことも似通ってはいない。 <br>生活はヱビスに流れ著いたものが<br>基盤となるため、外界からの訪れを<br>何よりも大切にしている。 <br>,村を探検したら、<br>とんでもねーお寶が<br>出てきそーだよな！ <br>
21007-4,境界の世界,空の世界と<br>赤き地平の狹間に位置する境界。 <br>空の世界とは実質的な別世界であり、<br>ただ上を目指しても<br>空の世界に戻ることは出來ない。 <br>時間的にも斷絶しており、<br>時の進まぬ境界の世界と空の世界とでは、<br>時間的な繋がりが、<br>おかしくなってしまうことも珍しくない。 <br>,親父さんに會えるかと<br>ちょっと<br>期待しちまったぜ……<br>
21004,貝斯提耶島,,
21004-1,恵みの裾野,獣達が暮らす恵み豊かな原生林。 <br>溫暖な気候の森には<br>食用に適した果実が無數に生っており、<br>星晶獣エキドナの庇護の元、<br>獣達は楽園のような暮らしを約束される。 <br>ただし、無暗な喧嘩は厳禁であり、<br>約束を破ろうものなら、<br>エキドナのお説教が待っている。 <br>,旅を続ける以外なら、<br>こんな森で暮らすのも<br>悪くねーかもな！ <br>
21004-2,清流のせせらぎ,獣達の憩いの場でもある、清らかな渓流。 <br>涼しげな音と共に流れる水は<br>どこまでも澄みきっており、<br>心地良い冷たさで獣達の渇いた喉を潤す。 <br>流れる川の音には<br>気持ちを落ち著かせる効果があり、<br>この清流で水を飲むと、<br>どんな獣も不思議と寛げるのだという。 <br>,川とか森の音は<br>オイラも大好きだぜ！ <br>
21004-3,花満ちる段瀑,嫋やかな緑や花々に彩られた滝。 <br>ベスティエ島自體が<br>祕境であり魔境であるため、<br>人々が観光に訪れることはまずないが、<br>自然の調和が生み出した風光明媚な景色は、<br>島に住まう獣達の密かな誇りでもある。 <br>,色んな島を見たけど、<br>この島は特に<br>自然が綺麗だな！ <br>
21004-4,郷愁の淵,清らかな水の満ちる、<br>ベスティエ島の滝の終著點。 <br>神秘的な滝に週囲を囲まれており、<br>中心から見上げることで<br>自然の雄大さを感じることが出來る。 <br>適度な深さと広さがあり、<br>日當たりも良好なことから、<br>星晶獣エキドナや島に住まう獣達が<br>水浴びをするのによく使われている。 <br>,ここでの水浴びは<br>確かにちょっと<br>気持ちよさそうだぜ！ <br>
21005,雷姆王國領　萊耶島,,
21005-1,三等居​​住許可區,ライヒェ島で暮らしを営む<br>レム王國臣民達の居住區。 <br>建物が密集するライヒェ島では、<br>衛生環境や景観の良い上層ほど、<br>上等な居住許可區とされる。 <br>三等から五等の居住許可區は、<br>庶民の住む街となっているが、<br>中には居住を許可されていない區畫に<br>勝手に家を建てて住む者もいる。 <br>,こんなに<br>家の多い街は、<br>初めてだぜ……<br>
21005-2,積み重なった建造物,星晶獣ガネーシャの加護により<br>過剰に繁栄しているライヒェ島では、<br>都市計畫が島の発展に追いつかず、<br>無秩序に家々が折り重なっている。 <br>非常に不安定ではあるものの、<br>奇跡的に倒壊を起こさずに済んでおり、<br>一部では、ライヒェ島の大工こそ、<br>全空一腕の良い大工だ、と揶揄される。 <br>,こんなに<br>家を積み重ねて、<br>よく崩れねーよな……<br>
21005-3,街を覆う煙霧,ライヒェ島では、<br>高く積まれた建物の隙間を、<br>常に濃い霧が漂っている。 <br>これは、<br>人口過密により生活に必要な施設が<br>満足に置かれていないために<br>生じるものであり、<br>風通しの悪い下層に住む者には、 <br>深刻な健康被害をもたらしている。 <br>,この街に長く居たら、<br>オイラ、<br>煤けちまいそーだぜ<br>
21005-4,下層の賑わい,下層に暮らす者達は<br>苦しい生活を強いられているものの、<br>たくましく助け合いながら暮らしている。 <br>レム王國には、その王家の成り立ちから、<br>血族とその結びつきを重視する風習があり、<br>祖先の慰霊と一族の繁栄を願う祭りは、<br>下層、上層を問わず、<br>華々しく執り行われる。 <br>,下のほうの街も、<br>なんだかんだで<br>元気そうだぜ！ <br>
21006,修提克島,,
21006-1,希望の塔,トリッド王國の興亡を見守った展望台。 <br>「天罰」による圧倒的な破壊の中でも<br>奇跡的にその姿を保ち続けた。 <br>「天罰」以後は、希望の塔と呼ばれ<br>トリッド王國再興の象徴とされたが、<br>ナル・グランデ空域は<br>戦亂の渦へと飲み込まれていき、< br>いまはただ誰も居なくなった島で、<br>塔だけが希望を掲げ続けている。 <br>,なんつーか……<br>ちょっと寂しい感じの<br>塔だよな……<br>
21006-2,王國の殘骸,かつて、<br>トリッド王國が築き上げた繁栄の殘骸。 <br>繁栄を支えた國民達は、<br>「天罰」によって多くを失い、<br>皆、シュテルケ島を捨て、<br>各々空へ散っていった。 <br>現在、人の住まなくなった家屋には、<br>「天罰」の再來をも恐れぬ<br>無法者達が住みついている。 <br>,いまこの島に<br>住みつくなんて、<br>度胸あるよな……<br>
21006-3,「天罰」の痕,突如、シュテルケ島を襲い、<br>トリッド王國を崩壊せしめた破壊の痕。 <br>天上より下された光の柱は、<br>島を、國を、人を塵と化し、<br>空の底へと葬った。 <br>大きく抉られた「天罰」の痕からは、<br>良き営みを紡いでいた人々の<br>怨嗟の聲が響くという。 <br>,おっかねぇ……<br>縮み上がっちまい<br>そうだぜ……<br>
21006-4,天上の輝き,腐敗したトリッド王國に<br>引導を渡したのは、<br>天上より現れた巨大な光の柱だった。 <br>その破壊はまさしく神の禦業であり、<br>原因の解明されないそれを、<br>人々は「天罰」と呼んだ。 <br>しかし、ごく一部の者達は、<br>「天罰」の直後、グレートウォールが<br>わずかに光を帯びているのを見たという。 <br>,この雲の上に、<br>グレートウォールが<br>あるみてーだな<br>
