id,name,text,trans
34,カタリナ/卡塔莉娜,大きな街には、<br>騎空団の世話をしてくれる<br>よろず屋があるはずだ。 ,大一點的城鎮裡，應該有為騎空團提供幫助的萬事屋。
35,カタリナ/卡塔莉娜,ここからだと近いのは……<br><span class='scene-font-place'>ポート・ブリーズ</span>か、<span class='scene-font- place'>バルツ公國</span>なら、<br>きっとよろず屋があるだろう。 ,"離我們近一點的……<span class='scene-font-place'>微風港</span>或者<span class='scene-font-place'>瓦爾茲公國</span>，肯定會有萬事屋。"
36,ルリア/露莉亞,これから……<br>新しい世界へと旅立つんですね。 ,我們馬上……就要朝新世界出發了呢。
37,ルリア/露莉亞,カタリナとビィさんと……<br>姬塔と……ううん<br>もしかしたら、もっとたくさんの人と。 ,和卡塔莉娜、阿碧……還有姬塔……不，也許還有更多人一起。
38,ビィ/碧,新しい出會いもあるかもな！ <br>何が待ち受けてるかなんて、<br>行ってみないとわかんねーけどよ！ ,也許還有新的相遇！不前進可不知道會有什麼在等著咱們呢！
39,ビィ/碧,だから……行こうぜ！ <br>姬塔。 <br>ここが空の彼方へ至る旅の始まりだ！ ！ ,所以……前進吧！姬塔。通往天空彼方的旅程，從這裡開始！
40,,<span class='scene-font-katari'>不思議な少女と魂を共有した事により</span><br><span class='scene-font-katari'>特殊な力を得た姬塔は</span><br><span class='scene-font-katari'>故郷をあとにする。 </span>,<span class='scene-font-katari'>與不可思議的少女共用靈魂，姬塔獲得了特殊的能力，離開了故鄉。 </span>
41,,<span class='scene-font-katari'>無限の果てに待つ父を想う</span><br><span class='scene-font-katari'>姬塔の髪を</span ><br><span class='scene-font-katari'>一陣の蒼い風が優しく撫でた。 </span>,<span class='scene-font-katari'>想著父親就在無限的遠方等待，藍天下的微風輕柔撫摸姬塔的頭髮。 </span>
42,,<span class='scene-font-katari'>不思議な少女と魂を共有した事により</span><br><span class='scene-font-katari'>特殊な力を得た姬塔は</span><br><span class='scene-font-katari'>故郷をあとにする。 </span>,<span class='scene-font-katari'>與不可思議的少女共用靈魂，姬塔獲得了特殊的能力，離開了故鄉。 </span>
43,,<span class='scene-font-katari'>無限の果てに待つ父を想う</span><br><span class='scene-font-katari'>姬塔の髪を</span ><br><span class='scene-font-katari'>一陣の蒼い風が優しく撫でた。 </span>,<span class='scene-font-katari'>想著父親就在無限的遠方等待，藍天下的微風輕柔撫摸姬塔的頭髮。 </span>
info,,,scene_tutorial03
