id,name,text,trans
57-sel1_txt,,<span class='scene-font-katari'>大丈夫？　怪我はない？ </span>,<span class='scene-font-katari'>你沒事吧？有沒有受傷？ </span>
59,謎の少女/神秘少女,……あ、あの！ <br>た、助けてください！ ,<span class='scene-font-4'>……那、那個！請、請救救我！ </span>
60,ビィ/碧,お、おいおい……<br>一體全體どうしたってんだ？ ,餵、喂喂……究竟發生了什麼？
61,男の聲/男人的聲音,そこの者、止まれ！ <br>剣を足元に置いて両手をあげろ！ ,那邊的，給我站住！把劍放在腳邊，舉起雙手！
62,謎の少女/神秘少女,っ！ ！ ,啊！ ！
65,,<span class='scene-font-katari'>少女を追って現れたのは、</span><br><span class='scene-font-katari'>武力で他の國々を支配しようとする</span><br><span class='scene-font-katari'>悪しき「エルステ帝國」の兵士だった。 </span>,<span class='scene-font-katari'>少女看向聲音的主人，認出他們身上的鎧甲。那是憑武力支配其他國家，臭名昭著的“埃爾斯特帝國”的鎧甲。 </span>
66,ビィ/碧,な、なんだてめぇら！ <br>やるってぇのか！ ？ ,你們是誰啊！還想動手嗎！ ？
67,帝國兵/帝國士兵,命が惜しいなら、大人しく、<br>その少女をこちらに引き渡すことだ。 ,如果還想活命，就老老實實把那少女交出來。
68,,<span class='scene-font-katari'>明らかな敵意と殺意に対し、</span><br><span class='scene-font-katari'>怯える少女は拒絶の意思を見せる。 </span>,<span class='scene-font-katari'>面對露骨的敵意與殺意，</span><br><span class='scene-font-katari'>少女在恐懼中選擇拒絕。 </span>
69,謎の少女/神秘少女,い……いや……！ ,不……不要……！
70,帝國兵/帝國士兵,さぁ、その少女を解放するんだ。 <br>手荒な真似はしたくない。 ,現在就放開那個女孩。我們也不想動粗。
70-sel1_txt,,<span class='scene-font-katari'>助けを求められて放っておけない！ </span>,<span class='scene-font-katari'>她向我求救了，我不能不管！ </span>
70-sel2_txt,,<span class='scene-font-katari'>信用できない！ </span>,<span class='scene-font-katari'>我不相信你們！ </span>
72,,<span class='scene-font-katari'>明らかな敵意と殺意に対し、</span><br><span class='scene-font-katari'>怯える少女は拒絶の意思を見せる。 </span>,<span class='scene-font-katari'>面對露骨的敵意與殺意，</span><br><span class='scene-font-katari'>少女在恐懼中選擇拒絕。 </span>
73,謎の少女/神秘少女,い……いや……！ ,不……不要……！
74,帝國兵/帝國士兵,さぁ、その少女を解放するんだ。 <br>手荒な真似はしたくない。 ,現在就放開那個女孩。我們也不想動粗。
74-sel1_txt,,<span class='scene-font-katari'>助けを求められて放っておけない！ </span>,<span class='scene-font-katari'>她向我求救了，我不能不管！ </span>
74-sel2_txt,,<span class='scene-font-katari'>信用できない！ </span>,<span class='scene-font-katari'>我不相信你們！ </span>
76,ビィ/碧,そうだそうだ！ <br>勝手なことばっか言いやがって！ <br>この娘、すげー怯えてるぞ！ ,就是就是！你們別自說自話了！她明明非常害怕！
78,帝國兵/帝國士兵,チッ……面倒だ、力づくでいくぞ。 <br>ガキが後で後悔するなよ！ ,切……真麻煩，那我們只能來硬的了。臭小鬼可別後悔！
81,,――――！ ,————！
info,,,scene_tutorial00
